ablated_success,ablated_success_std,closed_loop_success,closed_loop_success_std,full_cfg,label,open_loop_mse,open_loop_mse_std,perception_probe_l2,perception_probe_l2_std,perception_use,perception_use_std
0.067,0.012,1.0,0.0,proprio=oracle perc=raw inj=concat aux=0.0 noise=0.0 pool=None,oracle,0.0,0.0,0.677,0.005,0.933,0.012
0.053,0.017,1.0,0.0,proprio=minimal perc=raw inj=concat aux=0.0 noise=0.0 pool=None,raw/minimal/concat,0.0,0.0,0.678,0.025,0.947,0.017
0.053,0.012,1.0,0.0,proprio=copycat perc=raw inj=concat aux=0.0 noise=0.0 pool=None,raw/copycat/concat,0.0,0.0,0.676,0.01,0.947,0.012
0.06,0.014,0.667,0.083,proprio=copycat perc=raw inj=concat aux=0.0 noise=0.0 pool=8,raw/copycat/concat/pool8,0.001,0.0,0.682,0.01,0.607,0.093
0.033,0.017,0.65,0.091,proprio=copycat perc=raw inj=xattn aux=0.0 noise=0.0 pool=8,raw/copycat/xattn/pool8,0.001,0.0,0.669,0.014,0.617,0.091
0.04,0.0,0.43,0.022,proprio=copycat perc=raw inj=replace aux=0.0 noise=0.0 pool=8,raw/copycat/replace/pool8,0.001,0.0,0.679,0.008,0.39,0.022
0.06,0.024,0.19,0.014,proprio=minimal perc=image inj=concat aux=0.0 noise=0.0 pool=None,img/minimal/concat,0.003,0.0,0.678,0.026,0.13,0.014
0.04,0.008,0.163,0.026,proprio=minimal perc=image inj=concat aux=0.5 noise=0.0 pool=None,img/minimal/concat/aux,0.003,0.0,0.295,0.005,0.123,0.033
0.043,0.005,0.197,0.026,proprio=minimal perc=image inj=xattn aux=0.0 noise=0.0 pool=None,img/minimal/xattn,0.003,0.0,0.661,0.017,0.153,0.024
0.043,0.009,0.147,0.005,proprio=minimal perc=image inj=xattn aux=0.5 noise=0.0 pool=None,img/minimal/xattn/aux,0.003,0.0,0.295,0.007,0.103,0.012
0.06,0.016,0.163,0.037,proprio=minimal perc=image inj=replace aux=0.0 noise=0.0 pool=None,img/minimal/replace,0.004,0.001,0.658,0.009,0.103,0.053
0.033,0.021,0.193,0.009,proprio=minimal perc=image inj=replace aux=0.5 noise=0.0 pool=None,img/minimal/replace/aux,0.003,0.0,0.293,0.012,0.16,0.029
0.03,0.008,0.063,0.017,proprio=copycat perc=image inj=concat aux=0.0 noise=0.0 pool=8,img/copycat/concat/pool8,0.006,0.0,0.673,0.019,0.033,0.024
0.027,0.017,0.057,0.04,proprio=copycat perc=image inj=concat aux=0.5 noise=0.0 pool=8,img/copycat/concat/pool8/aux,0.007,0.001,0.894,0.048,0.03,0.057
0.053,0.012,0.073,0.026,proprio=copycat perc=image inj=xattn aux=0.5 noise=0.0 pool=8,img/copycat/xattn/pool8/aux,0.009,0.0,0.85,0.073,0.02,0.033
0.053,0.017,0.443,0.136,proprio=minimal perc=image inj=softargmax aux=0.0 noise=0.0 pool=None,img/minimal/softargmax,0.001,0.0,0.768,0.003,0.39,0.136
0.033,0.005,0.983,0.024,proprio=minimal perc=image inj=softargmax aux=0.5 noise=0.0 pool=None,img/minimal/softargmax/aux,0.0,0.0,0.009,0.001,0.95,0.028
0.03,0.0,0.987,0.019,proprio=minimal perc=image inj=softargmax aux=0.5 noise=0.0 pool=None,img/minimal/softargmax/decouple,0.0,0.0,0.009,0.001,0.957,0.019
0.043,0.005,0.553,0.033,proprio=copycat perc=image inj=softargmax aux=0.0 noise=0.0 pool=8,img/copycat/softargmax/pool8,0.001,0.0,0.146,0.064,0.51,0.029
0.03,0.0,0.58,0.07,proprio=copycat perc=image inj=softargmax aux=0.5 noise=0.0 pool=8,img/copycat/softargmax/pool8/decouple,0.001,0.0,0.01,0.002,0.55,0.07
0.02,0.022,0.923,0.073,proprio=minimal perc=raw inj=replace aux=0.0 noise=0.02 pool=None,raw/min/noise0.02,0.0,0.0,0.685,0.031,0.903,0.06
0.01,0.008,0.687,0.135,proprio=minimal perc=raw inj=replace aux=0.0 noise=0.05 pool=None,raw/min/noise0.05,0.0,0.0,0.684,0.029,0.677,0.127
0.023,0.012,0.49,0.12,proprio=minimal perc=raw inj=replace aux=0.0 noise=0.1 pool=None,raw/min/noise0.10,0.001,0.0,0.682,0.031,0.467,0.109
